iter	Logloss
143	0.3890792867
144	0.3887140004
145	0.3879810553
146	0.3876473068
147	0.3871734079
148	0.3867290703
149	0.3862402337
150	0.3858339593
151	0.3852075831
152	0.3846019733
153	0.3838203579
154	0.3835184229
155	0.3828473521
156	0.382177186
157	0.3816035299
158	0.3809530103
159	0.3804477742
160	0.3799686429
161	0.3796914832
162	0.379104062
163	0.3786714681
164	0.3783395085
165	0.3777518645
166	0.3773730787
167	0.3769270565
168	0.3762777457
169	0.3758182646
170	0.3753954555
171	0.3749867636
172	0.374817585
173	0.3745046397
174	0.374015728
175	0.3736651739
176	0.3735520963
177	0.3733928868
178	0.3729812089
179	0.3724311925
180	0.3716776728
181	0.3711135584
182	0.3706566405
183	0.3704113177
184	0.370311235
185	0.370177793
186	0.3697271448
187	0.3693600995
188	0.3689848357
189	0.3685681103
190	0.3679622741
191	0.3673472856
192	0.3669212329
193	0.366479103
194	0.3660880549
195	0.3658308351
196	0.3656358583
197	0.3652213816
198	0.3649962195
199	0.3645886893
200	0.3641200276
201	0.3637871791
202	0.3633104545
203	0.3630625892
204	0.3625148447
205	0.3621541958
206	0.3618338754
207	0.3613291635
208	0.3608155806
209	0.3603218744
210	0.3597572445
211	0.3593992881
212	0.359256429
213	0.3588253204
214	0.3585078024
215	0.3581248539
216	0.3579477318
217	0.3577149021
218	0.3574100503
219	0.3572614664
220	0.3569712888
221	0.3568874281
222	0.3566572307
223	0.3562074411
224	0.3560240229
225	0.3558431179
226	0.3556785428
227	0.3554664491
228	0.355285245
229	0.3549631947
230	0.3547762918
231	0.3544415671
232	0.3542177104
233	0.3540598477
234	0.353789566
235	0.3533773499
236	0.3531461691
237	0.3528665587
238	0.3526489752
239	0.352489336
240	0.3522085365
241	0.3520742268
242	0.3517850662
243	0.3515136915
244	0.3511620314
245	0.3510332617
246	0.350801452
247	0.3504088565
248	0.350147122
249	0.3499007558
250	0.3496578424
251	0.3495491169
252	0.3492042618
253	0.3489125158
254	0.3487055671
255	0.3481495286
256	0.3480139567
257	0.3477423879
258	0.3475193198
259	0.3471910338
260	0.3469830649
261	0.3465564526
262	0.3462864379
263	0.3459698803
264	0.3456719906
265	0.3453087916
266	0.3451346251
267	0.3447796687
268	0.3445218394
269	0.3443920811
270	0.3439799686
271	0.3438020056
272	0.3437119443
273	0.3434744889
274	0.3432473014
275	0.3428518967
276	0.3426054148
277	0.3423905243
278	0.3421458632
279	0.3418581354
280	0.3417230913
281	0.3414872207
282	0.3412000828
283	0.3410582163
284	0.3408561428
285	0.3404283259
286	0.3400327781
287	0.3399150887
288	0.3397319571
289	0.3395065572
290	0.3392741842
291	0.3392678541
292	0.3391898666
293	0.3389326786
294	0.3389059788
295	0.3387912289
296	0.338660762
297	0.338459453
298	0.3381093593
299	0.3380079685
300	0.337806741
301	0.3375677715
302	0.3372265797
303	0.3370865426
304	0.336798554
305	0.3366756684
306	0.3365362998
307	0.336311922
308	0.3361553084
309	0.3360143049
310	0.3357115587
311	0.3356919653
312	0.3353188709
313	0.3352401478
314	0.3349918866
315	0.3348623892
316	0.3347522083
317	0.3346162045
318	0.3343279753
319	0.3341518021
320	0.3339667561
321	0.3336840435
322	0.33346729
323	0.333296074
324	0.3331008584
325	0.3329641205
326	0.3327120351
327	0.3326004911
328	0.3322367522
329	0.3320919403
330	0.3320637201
331	0.3318253348
332	0.3317388503
333	0.3316600668
334	0.3316445879
335	0.3315625677
336	0.3313843861
337	0.3311215545
338	0.3309166466
339	0.3307530433
340	0.3304420354
341	0.3303533764
342	0.3300573522
343	0.3299359048
344	0.329586634
345	0.3293829993
346	0.3291965913
347	0.3291514396
348	0.3290975373
349	0.3289298614
350	0.3286899084
351	0.3286069052
352	0.3283547203
353	0.3281286901
354	0.3279475481
355	0.3277883561
356	0.3277202581
357	0.3276298281
358	0.3276109679
359	0.3274275692
360	0.3271585993
361	0.3268735578
362	0.3268510498
363	0.3266536624
364	0.3266327655
365	0.3263543449
366	0.3262466263
367	0.3261455423
368	0.3260589838
369	0.325832461
370	0.3257168521
371	0.3255908071
372	0.3255003533
373	0.3252876425
374	0.3252044748
375	0.3251314767
376	0.3249973956
377	0.3249276746
378	0.3247426835
379	0.3245803923
380	0.3244577676
381	0.3243715752
382	0.3241862721
383	0.3240310433
384	0.3239540851
385	0.3236820054
386	0.3234137962
387	0.3233926099
388	0.3232744255
389	0.3231281325
390	0.3229587235
391	0.3228593524
392	0.3228344563
393	0.3225838985
394	0.3225368413
395	0.3224219173
396	0.3221067101
397	0.3219851441
398	0.3218292831
399	0.3217914945
400	0.3214619761
401	0.3212546315
402	0.3212394164
403	0.3211507739
404	0.3210277369
405	0.3208289589
406	0.3207565371
407	0.3207516305
408	0.3206251518
409	0.3204340504
410	0.3202930882
411	0.3201912419
412	0.32003995
413	0.3199809747
414	0.3199062788
415	0.3197559745
416	0.3196803311
417	0.3193066881
418	0.3190497759
419	0.3188827781
420	0.3188116505
421	0.3187907446
422	0.3184526334
423	0.3182269535
424	0.3179799041
425	0.3178017577
426	0.3176746128
427	0.3175029
428	0.3173462442
429	0.317078326
430	0.3168925036
431	0.3168361906
432	0.3166898237
433	0.3165964856
434	0.3165641409
435	0.3164869187
436	0.3164004606
437	0.3163372166
438	0.3161035254
439	0.3158549467
440	0.3158002683
441	0.3155955428
442	0.3154542138
443	0.3153690026
444	0.3153111698
445	0.3152356148
446	0.3151413155
447	0.3150473494
448	0.314999555
449	0.3148847128
450	0.3147314394
451	0.3147000404
452	0.314527054
453	0.3143310423
454	0.3142258011
455	0.3140252931
456	0.3139614305
457	0.3138464605
458	0.3137971912
459	0.3137629033
460	0.3135877771
461	0.313466428
462	0.3133565563
463	0.3132699332
464	0.3132446208
465	0.3131768916
466	0.3130796949
467	0.313045904
468	0.312890214
469	0.3126853772
470	0.3124923705
471	0.3124316919
472	0.3123277687
473	0.3121292916
474	0.3121157477
475	0.3120607387
476	0.3120164277
477	0.3119434867
478	0.3118333207
479	0.3116452981
480	0.3114164597
481	0.3113831663
482	0.3112905858
483	0.3110540791
484	0.3109559382
485	0.3108256445
486	0.3108111081
487	0.3106641234
488	0.3106407892
489	0.3105159707
490	0.3103755905
491	0.310297702
492	0.3101818158
493	0.3100570217
494	0.3100073336
495	0.3099554021
496	0.3099058187
497	0.3097398343
498	0.3096421002
499	0.3095781549
500	0.309346918
501	0.3093338067
502	0.3091625974
503	0.3089431879
504	0.3087687156
505	0.3085149443
506	0.3084506808
507	0.3083613822
508	0.3082813019
509	0.3081109646
510	0.3079963038
511	0.3078113482
512	0.307685641
513	0.3076710695
514	0.3075003094
515	0.3074693541
516	0.3073977768
517	0.3072207323
518	0.3071144122
519	0.3069443637
520	0.3066980495
521	0.3065160528
522	0.3064469092
523	0.3063942146
524	0.3062787141
525	0.3062110143
526	0.3061716364
527	0.3061220022
528	0.3060823343
529	0.3060585676
530	0.3060172204
531	0.3058709783
532	0.3057913004
533	0.3057256963
534	0.3055772856
535	0.3054237249
536	0.3052419975
537	0.3052419123
538	0.3051468125
539	0.3050171223
540	0.3049978382
541	0.3047933649
542	0.3045091845
543	0.304416612
544	0.3043011426
545	0.3041584419
546	0.304039514
547	0.3038418372
548	0.3037642525
549	0.3036655647
550	0.30362749
551	0.303496583
552	0.303359009
553	0.3031839503
554	0.3031557886
555	0.3029604218
556	0.3028414217
557	0.302765379
558	0.3027032984
559	0.3026512861
560	0.3025321252
561	0.3022808412
562	0.3021977417
563	0.3019747438
564	0.3017111752
565	0.3015206894
566	0.3014656877
567	0.301384743
568	0.3013440892
569	0.3011950396
570	0.3010367373
571	0.3008786276
572	0.3008218158
573	0.300718946
574	0.3005806599
575	0.300398449
576	0.3003553445
577	0.300205809
578	0.3001430072
579	0.3000789967
580	0.2999126099
581	0.299729841
582	0.2995594522
583	0.299525683
584	0.2994201564
585	0.2993096588
586	0.2992958888
587	0.2991382977
588	0.2990285458
589	0.2990277674
590	0.2990103954
591	0.2989162526
592	0.298784614
593	0.2986944095
594	0.2986370747
595	0.2985071754
596	0.2983984146
597	0.2983368194
598	0.2982886195
599	0.2982032792
600	0.2981244609
601	0.2979979906
602	0.2979645954
603	0.2978380701
604	0.2977122466
605	0.297619467
606	0.2975239906
607	0.2974315754
608	0.2972875099
609	0.2972052498
610	0.2970411038
611	0.2969393157
612	0.2968453366
613	0.296742287
614	0.2966522431
615	0.2965346279
616	0.2964284427
617	0.2962132236
618	0.2960554773
619	0.2959947893
620	0.2958529334
621	0.2956791675
622	0.2955003918
623	0.2954258986
624	0.2953271577
625	0.2952387432
626	0.295097495
627	0.2949720548
628	0.2948814064
629	0.2947843686
630	0.2946048424
631	0.2944999875
632	0.2944866009
633	0.294434113
634	0.2943319206
635	0.2942256286
636	0.2940650314
637	0.2939543983
638	0.2938688914
639	0.2937701692
640	0.2937349533
641	0.2937229333
642	0.293613566
643	0.2936024488
644	0.2935261517
645	0.2934404492
646	0.2933296674
647	0.293228385
648	0.2930230674
649	0.2929793551
650	0.2928628619
651	0.2927067406
652	0.2926225149
653	0.2924919607
654	0.292422678
655	0.2922375564
656	0.2921737091
657	0.2920303875
658	0.2919278133
659	0.2919188973
660	0.2918259558
661	0.2916705275
662	0.2914026403
663	0.2913325338
664	0.2912789636
665	0.2911706339
666	0.2911031707
667	0.2910362786
668	0.2909266922
669	0.2907592623
670	0.290525995
671	0.2904694918
672	0.290404908
673	0.2903595666
674	0.2901808615
675	0.2900416293
676	0.2898445839
677	0.2897132773
678	0.2894812475
679	0.2894004705
680	0.2893449163
681	0.2892335681
682	0.2891431688
683	0.2890234065
684	0.2889482659
685	0.2887797476
686	0.2886395956
687	0.2885435401
688	0.2884382152
689	0.2883439239
690	0.2883122618
691	0.2881910743
692	0.2881267544
693	0.2880844423
694	0.288074653
695	0.2880450967
696	0.2878778824
697	0.2877648984
698	0.2876477636
699	0.2875114102
700	0.2874312697
701	0.2873764243
702	0.2873016101
703	0.2872068265
704	0.2870801143
705	0.2869474657
706	0.2867743138
707	0.2867214828
708	0.2865643804
709	0.2864244324
710	0.2862600419
711	0.2862185013
712	0.2861813
713	0.2859718667
714	0.2858867885
715	0.2856861208
716	0.2854896705
717	0.2854831541
718	0.2854366534
719	0.2853999613
720	0.2852937801
721	0.2851526847
722	0.2849520493
723	0.2848670469
724	0.2848322948
725	0.2848199038
726	0.2847112086
727	0.2845613868
728	0.2844861988
729	0.284441241
730	0.2843054043
731	0.2841568534
732	0.283818695
733	0.2836727452
734	0.2835338253
735	0.283419265
736	0.2833164632
737	0.2831924193
738	0.282991026
739	0.2827910994
740	0.282594912
741	0.2825001777
742	0.282318292
743	0.2822174241
744	0.2820233533
745	0.2817862065
746	0.2816234088
747	0.2813605077
748	0.2812573295
749	0.2811497253
750	0.2811191219
751	0.2808727095
752	0.2808115788
753	0.2806460576
754	0.2805128263
755	0.280415864
756	0.2803544216
757	0.2801772477
758	0.2801495212
759	0.2799986947
760	0.2799450255
761	0.279867304
762	0.2796077251
763	0.2794767262
764	0.2794288632
765	0.2793613218
766	0.2793105837
767	0.2790790097
768	0.278860624
769	0.2787367299
770	0.2786725238
771	0.2785334521
772	0.2782360387
773	0.2780139616
774	0.2778069245
775	0.277662794
776	0.2774722872
777	0.2774655757
778	0.2774189418
779	0.277339715
780	0.2773100574
781	0.2772296044
782	0.277166669
783	0.2770503025
784	0.2769716134
785	0.2768319416
786	0.2766795837
787	0.2765038888
788	0.2763858951
789	0.2762956318
790	0.2762213324
791	0.2761682573
792	0.2761358349
793	0.2760226354
794	0.2758628197
795	0.2758297219
796	0.2757511277
797	0.2757340189
798	0.2756989489
799	0.2754927329
800	0.2752709529
801	0.2750889369
802	0.275016454
803	0.2749311104
804	0.2748810421
805	0.2747761449
806	0.2746392185
807	0.2744619021
808	0.2743922175
809	0.2742658966
810	0.2741914248
811	0.2741494354
812	0.2741432721
813	0.2740391966
814	0.273996259
815	0.2739414937
816	0.273885786
817	0.2737876629
818	0.2736794836
819	0.2736504228
820	0.2734129297
821	0.2733961221
822	0.2733185682
823	0.2732567576
824	0.2731950131
825	0.2730636343
826	0.2729285916
827	0.2728579145
828	0.2726414395
829	0.2725727648
830	0.2725122379
831	0.2723695312
832	0.272289272
833	0.2721038877
834	0.2719642427
835	0.2719131372
836	0.2718492743
837	0.2717143689
838	0.2716468656
839	0.2715368658
840	0.2712630719
841	0.2712104332
842	0.2710220547
843	0.2709274596
844	0.2708976788
845	0.2707303809
846	0.2705611445
847	0.2705364187
848	0.2703702682
849	0.2702211129
850	0.2701345582
851	0.2700417076
852	0.2699005581
853	0.2698683185
854	0.269609101
855	0.269267457
856	0.2691775798
857	0.2691190848
858	0.2689634666
859	0.2689263137
860	0.2687088684
861	0.2686618655
862	0.2685726562
863	0.2685211068
864	0.2683587135
865	0.2683089326
866	0.2682411922
867	0.2681132712
868	0.2680155513
869	0.2679615864
870	0.267875102
871	0.267703875
872	0.2676602506
873	0.2676122362
874	0.267588977
875	0.2675146977
876	0.2673600562
877	0.2672817173
878	0.2672051751
879	0.2671117922
880	0.2670813187
881	0.2670583234
882	0.2669302564
883	0.2668739334
884	0.26684714
885	0.2666955154
886	0.2666587222
887	0.2665646289
888	0.2664820018
889	0.2664063704
890	0.2662899242
891	0.2662440022
892	0.2661441338
893	0.2660996163
894	0.266048975
895	0.2659043573
896	0.2657276658
897	0.265707737
898	0.2655752595
899	0.2654955392
900	0.2654459638
901	0.265363064
902	0.2653326973
903	0.2652668073
904	0.2650819536
905	0.265034592
906	0.2650253835
907	0.2648382881
908	0.2646981807
909	0.2645486429
910	0.2644620076
911	0.2644164617
912	0.2643629673
913	0.2642603934
914	0.2642145155
915	0.2641359798
916	0.2640656883
917	0.2639725189
918	0.263832209
919	0.2637610647
920	0.2636636192
921	0.2636125866
922	0.2634514153
923	0.2632812299
924	0.263063251
925	0.2629922055
926	0.2628249917
927	0.2627761755
928	0.2626869302
929	0.2624741675
930	0.2624123329
931	0.262365487
932	0.2622382245
933	0.2622001085
934	0.2621071138
935	0.2619003176
936	0.2618519108
937	0.2618040513
938	0.2617816561
939	0.2617357237
940	0.261611136
941	0.2615010115
942	0.2613552309
943	0.2612835432
944	0.2612197913
945	0.2610719482
946	0.2608679241
947	0.2605901747
948	0.2604970272
949	0.2604101862
950	0.2603770017
951	0.2603294766
952	0.2601880331
953	0.2599807569
954	0.2599062903
955	0.2598051515
956	0.2597165748
957	0.2594435215
958	0.2593173943
959	0.2592636955
960	0.2591901895
961	0.2591579941
962	0.2590971369
963	0.2590577079
964	0.259005369
965	0.2589861483
966	0.2588752922
967	0.2588557928
968	0.2588316928
969	0.2587676411
970	0.2587053783
971	0.2586227828
972	0.258562543
973	0.2584311107
974	0.2583862934
975	0.2583272428
976	0.2583010717
977	0.2582328354
978	0.2581533097
979	0.2580991747
980	0.2580640471
981	0.2580045602
982	0.2579681824
983	0.257724404
984	0.2576882889
985	0.2576073447
986	0.2574205751
987	0.257356665
988	0.2573412841
989	0.2572927888
990	0.2572330086
991	0.257136095
992	0.2571064807
993	0.2569116088
994	0.2568140555
995	0.2567724479
996	0.2567169363
997	0.2566345218
998	0.2565642671
999	0.2565042026
